transaction_id,user_id,transaction_timestamp,transaction_type,amount,status,failure_reason,payment_partner
500107,100087,2026-02-28 07:50:12,Wallet Transfer,66.93,success,,HDFCPay
500108,100087,2026-03-08 12:12:49,UPI,364.93,success,,SBIPay
500109,100087,2026-03-25 01:26:05,UPI,2644.72,success,,HDFCPay
500110,100087,2026-03-13 03:07:24,Mobile Recharge,184.47,success,,ICICIPay
500111,100093,2026-04-01 22:47:52,Merchant Payment,64.53,pending,,PartnerX
500112,100093,2026-03-25 23:16:21,Wallet Transfer,1284.04,success,,HDFCPay
500113,100093,2026-03-15 17:32:56,Wallet Transfer,167.82,success,,ICICIPay
500114,100093,2026-04-01 00:58:45,Mobile Recharge,308.88,success,,HDFCPay
500115,100097,2026-05-27 05:57:17,Mobile Recharge,354.49,success,,SBIPay
500116,100097,2026-05-08 06:01:17,Wallet Transfer,88.42,failed,bank_declined,HDFCPay
500117,100097,2026-05-23 08:39:59,Bill Payment,53.05,success,,ICICIPay
500118,100098,2026-04-28 07:41:39,Merchant Payment,221.58,success,,SBIPay
500119,100099,2026-01-29 18:44:12,Bill Payment,379.04,success,,AxisPay
500120,100099,2026-01-31 20:27:56,Wallet Transfer,305.47,success,,AxisPay
500121,100099,2026-01-28 07:55:09,Wallet Transfer,627.52,success,,PartnerX
500122,100101,2026-02-07 12:57:17,Wallet Transfer,599.82,success,,ICICIPay
500123,100101,2026-02-24 00:04:59,Wallet Transfer,82.8,success,,PartnerX
500124,100101,2026-02-13 10:24:30,UPI,881.74,success,,AxisPay
500125,100101,2026-03-05 03:55:34,Wallet Transfer,379.65,success,,HDFCPay
500126,100107,2026-05-07 01:35:07,Wallet Transfer,382.81,success,,PartnerX
500127,100108,2026-03-25 02:37:34,UPI,56.14,success,,SBIPay
500128,100109,2026-05-22 01:04:09,Merchant Payment,858.66,success,,ICICIPay
500129,100109,2026-05-05 20:27:38,Bill Payment,229.59,success,,PartnerX
500130,100113,2026-03-29 19:42:18,Merchant Payment,709.16,success,,PartnerX
500131,100116,2026-01-11 16:03:03,UPI,557.78,success,,PartnerX
500132,100116,2026-01-14 02:46:35,Mobile Recharge,764.45,failed,bank_declined,AxisPay
500133,100116,2026-01-22 09:46:32,Wallet Transfer,812.52,success,,PartnerX
500134,100118,2026-02-26 08:41:33,Bill Payment,480.41,success,,SBIPay
500135,100118,2026-02-16 05:58:23,Bill Payment,46.49,success,,AxisPay
500136,100118,2026-03-05 23:38:40,Bill Payment,319.66,success,,HDFCPay
500137,100118,2026-02-21 08:52:42,Bill Payment,445.31,success,,AxisPay
500138,100118,2026-02-17 14:33:50,Merchant Payment,350.05,success,,SBIPay
500139,100121,2026-05-07 09:40:52,Merchant Payment,102.05,success,,ICICIPay
500140,100121,2026-05-05 19:57:39,Wallet Transfer,88.36,success,,AxisPay
500141,100121,2026-05-08 20:08:55,UPI,14.38,success,,HDFCPay
500142,100121,2026-05-06 14:30:12,Bill Payment,349.07,success,,AxisPay
500143,100121,2026-05-07 06:25:49,UPI,129.84,success,,SBIPay
500144,100121,2026-05-04 10:47:40,UPI,131.19,success,,AxisPay
500145,100125,2026-04-11 07:09:59,Wallet Transfer,1164.45,success,,AxisPay
500146,100126,2026-02-19 04:26:48,Bill Payment,94.07,failed,timeout,ICICIPay
500147,100126,2026-01-18 01:08:47,Merchant Payment,309.0,success,,SBIPay
500148,100126,2026-01-22 10:56:00,UPI,356.61,success,,ICICIPay
500149,100126,2026-01-19 01:12:32,UPI,333.4,failed,timeout,ICICIPay
500150,100132,2026-02-01 03:19:45,Mobile Recharge,75.38,success,,SBIPay
500151,100134,2026-05-19 18:57:38,Wallet Transfer,84.27,success,,HDFCPay
500152,100134,2026-06-08 12:52:20,Wallet Transfer,152.54,success,,AxisPay
500153,100134,2026-05-29 10:29:00,Merchant Payment,361.27,success,,SBIPay
500154,100139,2026-03-21 15:53:41,Mobile Recharge,439.94,success,,SBIPay
500155,100141,2026-02-16 16:33:50,Merchant Payment,505.95,success,,AxisPay
500156,100141,2026-02-10 11:45:18,Mobile Recharge,67.93,success,,ICICIPay
500157,100141,2026-03-04 05:33:52,Mobile Recharge,224.68,failed,insufficient_funds,AxisPay
500158,100141,2026-02-15 22:11:46,Mobile Recharge,644.35,success,,ICICIPay
500159,100141,2026-02-10 22:14:12,Mobile Recharge,1032.05,success,,HDFCPay
500160,100141,2026-02-09 05:51:51,Wallet Transfer,210.57,success,,AxisPay
500161,100141,2026-02-27 18:12:05,Merchant Payment,576.46,success,,PartnerX
500162,100141,2026-02-25 18:15:54,Merchant Payment,66.81,success,,ICICIPay
500163,100141,2026-02-10 12:18:57,UPI,113.49,success,,AxisPay
500164,100141,2026-02-11 16:12:52,Bill Payment,346.96,pending,,AxisPay
500165,100141,2026-02-26 16:09:14,Merchant Payment,190.87,failed,timeout,ICICIPay
500166,100143,2026-03-20 14:26:03,UPI,151.11,success,,ICICIPay
500167,100144,2026-06-26 02:30:07,Bill Payment,181.72,success,,HDFCPay
500168,100144,2026-06-30 18:31:54,Merchant Payment,1062.02,success,,AxisPay
500169,100146,2026-01-08 05:14:39,Bill Payment,523.08,success,,AxisPay
500170,100146,2026-01-30 21:05:24,Mobile Recharge,329.53,success,,AxisPay
500171,100147,2026-02-11 11:35:17,Wallet Transfer,48.53,success,,HDFCPay
500172,100148,2026-05-26 04:44:27,UPI,159.33,success,,SBIPay
500173,100148,2026-05-26 10:50:09,Wallet Transfer,28.07,success,,SBIPay
500174,100148,2026-05-25 20:58:01,Wallet Transfer,39.84,success,,AxisPay
500175,100149,2026-01-15 22:57:51,Bill Payment,241.25,success,,AxisPay
500176,100150,2026-06-03 19:03:31,Merchant Payment,362.58,success,,SBIPay
500177,100150,2026-06-02 23:43:57,Bill Payment,26.61,success,,AxisPay
500178,100154,2026-03-20 19:02:44,Bill Payment,171.14,success,,PartnerX
500179,100154,2026-03-21 13:26:17,Mobile Recharge,379.67,success,,AxisPay
500180,100154,2026-04-09 02:00:58,Mobile Recharge,91.07,success,,AxisPay
500181,100154,2026-03-24 16:03:28,Merchant Payment,292.7,success,,HDFCPay
500182,100154,2026-04-16 13:02:13,Bill Payment,495.9,success,,ICICIPay
500183,100154,2026-03-20 12:49:27,Bill Payment,204.35,success,,PartnerX
500184,100154,2026-03-25 02:37:10,UPI,128.36,success,,SBIPay
500185,100154,2026-03-30 09:17:30,Merchant Payment,191.11,success,,AxisPay
500186,100154,2026-03-27 20:27:35,Mobile Recharge,562.77,success,,PartnerX
500187,100154,2026-03-24 05:21:20,Mobile Recharge,199.86,success,,SBIPay
500188,100154,2026-04-26 05:51:27,Merchant Payment,275.77,success,,SBIPay
500189,100154,2026-04-06 07:56:52,UPI,438.41,success,,SBIPay
500190,100156,2026-02-08 06:32:27,Merchant Payment,258.43,success,,PartnerX
500191,100158,2026-04-04 16:15:15,Wallet Transfer,31.1,success,,SBIPay
500192,100158,2026-04-01 14:29:48,Merchant Payment,842.59,success,,HDFCPay
500193,100158,2026-04-06 07:52:32,UPI,145.2,success,,ICICIPay
500194,100163,2026-03-21 04:21:55,Mobile Recharge,95.74,success,,ICICIPay
500195,100165,2026-05-27 07:08:38,Mobile Recharge,516.91,success,,AxisPay
500196,100165,2026-06-12 23:11:30,UPI,222.06,success,,PartnerX
500197,100168,2026-03-15 21:57:13,Wallet Transfer,49.93,success,,AxisPay
500198,100168,2026-03-04 02:36:13,Wallet Transfer,152.68,failed,timeout,HDFCPay
500199,100169,2026-01-07 18:26:03,Bill Payment,28.52,success,,AxisPay
500200,100173,2026-05-09 23:25:00,Mobile Recharge,130.11,success,,ICICIPay
500201,100173,2026-06-09 07:29:52,Wallet Transfer,171.01,success,,AxisPay
500202,100174,2026-05-09 11:08:57,UPI,622.93,success,,AxisPay
500203,100174,2026-05-16 12:35:57,Mobile Recharge,317.95,success,,PartnerX
500204,100174,2026-05-05 02:07:28,Mobile Recharge,419.19,success,,SBIPay
500205,100174,2026-05-11 07:10:02,Merchant Payment,184.81,success,,PartnerX
500206,100174,2026-05-04 10:37:26,UPI,93.82,success,,HDFCPay
500207,100174,2026-05-11 07:54:42,Bill Payment,226.88,success,,PartnerX
500208,100174,2026-05-24 08:54:23,Mobile Recharge,85.43,success,,AxisPay
500209,100174,2026-05-23 22:09:30,Merchant Payment,489.48,success,,PartnerX
500210,100174,2026-05-13 11:30:00,Mobile Recharge,16.59,success,,PartnerX
500211,100174,2026-05-22 16:38:47,UPI,410.94,success,,ICICIPay
500212,100174,2026-05-13 16:35:28,Mobile Recharge,180.64,success,,HDFCPay
500213,100174,2026-05-05 16:02:26,UPI,87.37,success,,HDFCPay
500214,100176,2026-05-14 22:59:38,Mobile Recharge,63.0,pending,,PartnerX
500215,100179,2026-03-30 01:21:35,Bill Payment,156.33,success,,ICICIPay
500216,100179,2026-04-08 05:51:27,Mobile Recharge,368.37,success,,SBIPay
500217,100183,2026-05-03 16:56:00,Bill Payment,269.11,success,,HDFCPay
500218,100183,2026-05-08 11:13:26,Bill Payment,186.02,success,,HDFCPay
500219,100183,2026-05-23 06:15:32,Wallet Transfer,283.92,success,,PartnerX
500220,100184,2026-04-01 06:05:04,Mobile Recharge,61.76,success,,HDFCPay
500221,100184,2026-04-03 23:22:54,Bill Payment,334.06,success,,ICICIPay
500222,100184,2026-04-05 22:14:34,Wallet Transfer,53.56,success,,AxisPay
500223,100184,2026-03-31 19:04:29,UPI,132.16,success,,SBIPay
500224,100184,2026-04-07 14:13:31,Merchant Payment,116.65,success,,AxisPay
500225,100184,2026-03-31 03:55:46,Merchant Payment,307.73,success,,SBIPay
500226,100184,2026-04-22 02:22:45,UPI,57.66,success,,ICICIPay
500227,100184,2026-04-08 00:35:31,Mobile Recharge,291.32,success,,AxisPay
500228,100184,2026-04-03 23:42:03,Merchant Payment,479.13,success,,AxisPay
500229,100184,2026-04-05 13:43:37,Mobile Recharge,252.81,success,,PartnerX
500230,100188,2026-02-21 16:59:57,Wallet Transfer,112.38,success,,SBIPay
500231,100189,2026-03-07 12:49:02,Mobile Recharge,324.59,success,,SBIPay
500232,100195,2026-01-17 20:06:48,Wallet Transfer,201.87,failed,bank_declined,AxisPay
500233,100195,2026-01-20 05:47:41,Mobile Recharge,49.75,success,,ICICIPay
500234,100195,2026-01-20 22:52:14,Merchant Payment,339.7,success,,PartnerX
500235,100196,2026-03-13 15:48:57,Merchant Payment,360.16,success,,SBIPay
500236,100196,2026-03-03 10:15:36,Bill Payment,740.81,success,,ICICIPay
500237,100197,2026-01-23 14:13:04,Wallet Transfer,77.46,success,,HDFCPay
500238,100201,2026-06-12 14:22:20,Bill Payment,274.26,success,,PartnerX
500239,100205,2026-03-01 10:51:15,Bill Payment,57.76,success,,HDFCPay
500240,100206,2026-05-22 18:37:05,Mobile Recharge,632.45,success,,AxisPay
500241,100207,2026-06-30 10:57:05,Mobile Recharge,130.37,success,,SBIPay
500242,100210,2026-03-01 09:28:56,Mobile Recharge,54.49,success,,SBIPay
500243,100212,2026-05-21 07:30:26,UPI,34.39,failed,timeout,AxisPay
500244,100213,2026-03-23 11:32:44,Merchant Payment,244.22,success,,SBIPay
500245,100213,2026-03-22 00:52:24,UPI,55.46,success,,SBIPay
500246,100214,2026-05-14 20:59:54,UPI,204.12,success,,SBIPay
500247,100214,2026-05-12 06:17:32,UPI,585.09,success,,SBIPay
500248,100214,2026-05-27 19:47:25,Wallet Transfer,399.06,success,,HDFCPay
500249,100214,2026-05-16 17:22:27,Mobile Recharge,3465.47,success,,PartnerX
500250,100214,2026-05-12 19:16:42,Wallet Transfer,115.41,success,,SBIPay
500251,100216,2026-01-29 02:10:45,Merchant Payment,422.57,success,,ICICIPay
500252,100217,2026-01-18 08:57:11,Mobile Recharge,235.42,success,,PartnerX
500253,100217,2026-01-19 12:11:49,Wallet Transfer,613.39,success,,AxisPay
500254,100217,2026-01-23 04:59:32,Wallet Transfer,182.68,success,,HDFCPay
500255,100218,2026-03-21 07:31:35,Bill Payment,265.47,success,,ICICIPay
500256,100222,2026-05-08 03:29:48,Bill Payment,220.55,success,,ICICIPay
500257,100222,2026-05-20 08:42:53,UPI,390.25,success,,AxisPay
500258,100222,2026-05-15 06:02:21,Mobile Recharge,306.99,success,,PartnerX
500259,100224,2026-05-15 15:47:25,Wallet Transfer,1083.43,success,,AxisPay
500260,100224,2026-05-11 21:31:46,Mobile Recharge,88.17,success,,PartnerX
500261,100224,2026-05-07 21:12:03,Merchant Payment,63.96,success,,HDFCPay
500262,100225,2026-02-27 23:20:08,UPI,162.79,success,,PartnerX
500263,100225,2026-03-02 03:30:27,Wallet Transfer,171.99,success,,AxisPay
500264,100229,2026-02-16 23:50:49,Mobile Recharge,165.9,success,,HDFCPay
500265,100229,2026-02-05 12:10:12,Mobile Recharge,807.17,success,,HDFCPay
500266,100234,2026-04-05 23:21:12,Mobile Recharge,1200.5,success,,AxisPay
500267,100234,2026-04-10 08:39:35,Bill Payment,369.77,success,,HDFCPay
500268,100234,2026-04-24 10:42:17,UPI,361.08,success,,ICICIPay
500269,100235,2026-06-04 10:18:11,Bill Payment,424.19,failed,bank_declined,PartnerX
500270,100240,2026-03-01 10:56:13,Mobile Recharge,157.31,success,,PartnerX
500271,100240,2026-02-11 15:18:49,Mobile Recharge,157.56,success,,SBIPay
500272,100242,2026-01-20 22:29:22,Wallet Transfer,10.0,success,,ICICIPay
500273,100244,2026-04-26 20:37:35,Wallet Transfer,350.01,success,,ICICIPay
500274,100244,2026-04-20 20:47:04,UPI,138.11,success,,ICICIPay
500275,100244,2026-04-24 09:30:36,Bill Payment,414.7,success,,HDFCPay
500276,100244,2026-05-10 19:05:13,Mobile Recharge,90.74,success,,ICICIPay
500277,100244,2026-04-27 16:02:04,Merchant Payment,125.22,success,,PartnerX
500278,100244,2026-04-22 10:11:21,Merchant Payment,1387.75,success,,HDFCPay
500279,100244,2026-05-06 11:17:33,Bill Payment,373.73,success,,ICICIPay
500280,100244,2026-04-24 18:35:49,Merchant Payment,112.79,success,,AxisPay
500281,100249,2026-01-15 13:13:27,Bill Payment,520.01,success,,HDFCPay
500282,100249,2026-01-17 14:02:44,Bill Payment,412.56,success,,PartnerX
500283,100251,2026-04-02 07:57:25,Merchant Payment,59.55,success,,PartnerX
500284,100251,2026-04-05 02:34:48,Mobile Recharge,139.8,success,,ICICIPay
500285,100251,2026-03-30 00:11:20,Merchant Payment,32.69,success,,HDFCPay
500286,100251,2026-04-05 14:49:35,Merchant Payment,602.75,success,,PartnerX
500287,100251,2026-04-03 08:03:19,Bill Payment,629.57,success,,SBIPay
500288,100252,2026-02-03 16:31:51,Wallet Transfer,258.7,success,,HDFCPay
500289,100254,2026-05-06 19:26:55,Wallet Transfer,772.07,success,,ICICIPay
500290,100254,2026-05-06 23:35:57,Mobile Recharge,94.25,success,,HDFCPay
500291,100254,2026-05-05 03:55:29,Merchant Payment,202.49,success,,HDFCPay
500292,100254,2026-05-06 20:45:12,Merchant Payment,1050.33,success,,AxisPay
500293,100254,2026-05-05 23:38:01,Wallet Transfer,163.8,success,,AxisPay
500294,100254,2026-06-24 01:35:10,Merchant Payment,132.54,success,,HDFCPay
500295,100254,2026-05-16 10:21:04,Mobile Recharge,544.44,success,,ICICIPay
500296,100257,2026-01-23 18:12:55,Bill Payment,356.71,success,,HDFCPay
500297,100258,2026-02-01 12:37:14,Merchant Payment,130.15,success,,SBIPay
500298,100258,2026-02-18 09:11:26,Merchant Payment,77.71,success,,ICICIPay
500299,100258,2026-02-09 12:26:32,Wallet Transfer,344.67,success,,AxisPay
500300,100259,2026-04-15 04:54:30,Merchant Payment,109.96,pending,,SBIPay
500301,100261,2026-02-22 11:44:30,Mobile Recharge,941.67,failed,bank_declined,PartnerX
500302,100263,2026-06-15 06:39:04,Merchant Payment,71.76,success,,SBIPay
500303,100265,2026-04-25 17:15:56,UPI,102.02,success,,SBIPay
500304,100265,2026-04-29 14:38:24,Wallet Transfer,122.86,success,,AxisPay
500305,100265,2026-04-21 23:04:29,Bill Payment,38.63,success,,PartnerX
500306,100265,2026-04-20 12:58:06,Mobile Recharge,256.16,success,,AxisPay
500307,100265,2026-04-14 23:15:49,Bill Payment,257.27,success,,SBIPay
500308,100265,2026-04-16 19:05:39,Mobile Recharge,221.54,success,,PartnerX
500309,100265,2026-05-07 05:28:45,Merchant Payment,912.15,success,,PartnerX
500310,100265,2026-04-19 15:13:54,Bill Payment,78.45,success,,PartnerX
500311,100267,2026-05-19 23:09:31,Mobile Recharge,1086.7,success,,PartnerX
500312,100267,2026-03-04 08:10:59,Merchant Payment,629.54,success,,ICICIPay
500313,100267,2026-03-06 09:23:08,UPI,1350.68,success,,AxisPay
500314,100267,2026-03-09 08:47:03,Merchant Payment,344.92,success,,HDFCPay
500315,100267,2026-03-15 08:34:36,Bill Payment,215.03,success,,PartnerX
500316,100267,2026-03-27 11:34:01,Wallet Transfer,125.99,success,,AxisPay
500317,100267,2026-03-05 11:03:11,Wallet Transfer,1070.78,success,,PartnerX
500318,100267,2026-03-20 21:43:14,Merchant Payment,91.35,success,,SBIPay
500319,100267,2026-03-29 08:15:27,Merchant Payment,311.43,success,,SBIPay
500320,100267,2026-03-12 20:54:28,Wallet Transfer,601.94,success,,AxisPay
500321,100267,2026-03-10 01:47:11,UPI,281.66,success,,PartnerX
500322,100267,2026-03-10 10:37:27,Mobile Recharge,1288.68,success,,SBIPay
500323,100267,2026-03-10 01:15:01,Merchant Payment,277.59,success,,HDFCPay
500324,100268,2026-04-20 06:20:09,Merchant Payment,149.11,success,,SBIPay
500325,100268,2026-04-20 02:04:56,Wallet Transfer,622.82,success,,PartnerX
500326,100268,2026-04-20 23:39:40,Bill Payment,401.73,success,,ICICIPay
500327,100268,2026-04-30 01:17:11,Wallet Transfer,227.48,success,,HDFCPay
500328,100268,2026-04-22 00:08:25,Bill Payment,322.86,success,,PartnerX
500329,100269,2026-04-29 20:24:11,Wallet Transfer,1038.81,success,,ICICIPay
500330,100271,2026-01-14 18:15:59,UPI,148.65,success,,PartnerX
500331,100271,2026-01-13 02:21:22,Mobile Recharge,27.95,success,,PartnerX
500332,100271,2026-01-21 16:43:53,UPI,498.91,success,,ICICIPay
500333,100271,2026-01-10 16:19:09,Wallet Transfer,420.93,failed,insufficient_funds,AxisPay
500334,100272,2026-02-21 10:03:22,Bill Payment,212.78,success,,ICICIPay
500335,100272,2026-02-01 10:38:42,UPI,498.97,success,,SBIPay
500336,100272,2026-02-03 09:05:07,Wallet Transfer,84.68,success,,HDFCPay
500337,100272,2026-01-29 18:34:50,Wallet Transfer,39.56,failed,bank_declined,HDFCPay
500338,100272,2026-02-02 11:01:45,Wallet Transfer,542.63,success,,SBIPay
500339,100272,2026-02-02 10:08:31,Merchant Payment,399.41,success,,PartnerX
500340,100274,2026-03-29 15:29:21,Wallet Transfer,158.05,success,,SBIPay
500341,100274,2026-03-23 10:59:35,Bill Payment,34.54,success,,SBIPay
500342,100274,2026-04-11 20:14:49,UPI,106.5,success,,SBIPay
500343,100274,2026-04-23 02:10:51,Wallet Transfer,1349.71,success,,HDFCPay
500344,100276,2026-04-05 13:39:20,Merchant Payment,923.26,success,,SBIPay
500345,100276,2026-03-23 15:48:59,UPI,296.98,success,,PartnerX
500346,100278,2026-01-20 08:16:49,Bill Payment,313.12,success,,ICICIPay
