ticket_id,user_id,created_at,category,issue_text,sentiment,resolution_time_hours
900064,134658,2026-06-28 22:36:56,Payment Failure,My payment failed and I do not know why.,negative,4.72
900065,137214,2026-03-29 14:25:00,Payment Failure,My payment failed and I do not know why.,negative,4.49
900066,120305,2026-05-31 15:39:33,Payment Failure,My payment failed and I do not know why.,negative,5.35
900067,115270,2026-06-21 19:11:54,Payment Failure,My payment failed and I do not know why.,negative,1.65
900068,122368,2026-02-12 15:11:22,Account,I need help with my account.,neutral,11.35
900069,142685,2026-06-10 07:05:42,App Performance,The app feels slow and sometimes freezes.,negative,6.18
900070,146735,2026-02-10 10:22:37,Rewards,The rewards experience is confusing.,neutral,8.48
900071,111733,2026-05-14 21:47:18,App Performance,The app feels slow and sometimes freezes.,negative,13.72
900072,118620,2026-05-09 15:15:52,Account,I need help with my account.,neutral,17.71
900073,148493,2026-03-24 06:52:55,Payment Failure,My payment failed and I do not know why.,negative,6.15
900074,126804,2026-06-09 22:20:55,KYC Issues,I am unable to complete KYC document verification.,negative,6.61
900075,144306,2026-05-23 21:15:35,Account,I need help with my account.,neutral,18.42
900076,147523,2026-01-16 09:48:23,KYC Issues,I am unable to complete KYC document verification.,negative,12.42
900077,132208,2026-06-30 23:59:59,KYC Issues,I am unable to complete KYC document verification.,negative,9.29
900078,102531,2026-04-13 23:52:55,Payment Failure,My payment failed and I do not know why.,negative,3.73
900079,117747,2026-03-12 14:13:23,App Performance,The app feels slow and sometimes freezes.,negative,6.93
900080,108271,2026-04-10 00:28:12,Payment Failure,My payment failed and I do not know why.,negative,37.01
900081,115080,2026-03-03 20:22:52,Rewards,The rewards experience is confusing.,neutral,10.03
900082,113625,2026-01-13 04:13:16,App Performance,The app feels slow and sometimes freezes.,negative,9.26
900083,130639,2026-02-13 10:48:15,Payment Failure,My payment failed and I do not know why.,negative,1.34
900084,130441,2026-05-12 10:56:33,Payment Failure,My payment failed and I do not know why.,negative,0.97
900085,136057,2026-06-30 23:59:59,App Performance,The app feels slow and sometimes freezes.,negative,18.09
900086,142652,2026-04-14 21:45:32,KYC Issues,I am unable to complete KYC document verification.,negative,12.32
900087,136804,2026-06-13 19:13:18,Account,I need help with my account.,neutral,1.24
900088,148225,2026-01-04 19:27:13,Rewards,The rewards experience is confusing.,neutral,1.18
900089,129227,2026-02-14 11:47:49,Account,I need help with my account.,neutral,6.5
900090,105634,2026-06-04 03:38:16,Payment Failure,My payment failed and I do not know why.,negative,3.57
900091,105988,2026-05-11 11:04:51,Payment Failure,My payment failed and I do not know why.,negative,11.59
900092,148064,2026-02-04 01:43:46,Account,I need help with my account.,neutral,19.75
900093,101813,2026-02-12 11:22:28,Account,I need help with my account.,neutral,11.2
900094,127579,2026-03-11 20:27:19,KYC Issues,I am unable to complete KYC document verification.,negative,14.37
900095,116824,2026-03-05 04:47:15,Account,I need help with my account.,neutral,3.71
900096,103929,2026-04-12 14:35:28,Rewards,The rewards experience is confusing.,neutral,13.23
900097,137287,2026-06-10 17:38:26,Payment Failure,My payment failed and I do not know why.,negative,5.14
900098,125046,2026-04-30 14:29:06,Account,I need help with my account.,neutral,2.66
900099,115728,2026-03-05 05:45:02,KYC Issues,I am unable to complete KYC document verification.,negative,2.11
900100,129601,2026-03-01 07:44:36,Payment Failure,My payment failed and I do not know why.,negative,4.25
900101,110431,2026-01-28 11:15:36,KYC Issues,I am unable to complete KYC document verification.,negative,2.15
900102,125769,2026-02-24 01:15:21,Payment Failure,My payment failed and I do not know why.,negative,6.9
900103,129104,2026-03-31 13:45:30,Rewards,The rewards experience is confusing.,neutral,21.72
900104,136538,2026-06-25 01:40:28,App Performance,The app feels slow and sometimes freezes.,negative,8.03
900105,139329,2026-06-11 10:26:06,Payment Failure,My payment failed and I do not know why.,negative,2.88
900106,135540,2026-05-19 20:58:46,Account,I need help with my account.,neutral,14.51
900107,128076,2026-05-13 17:22:05,Account,I need help with my account.,neutral,24.41
900108,117841,2026-01-30 08:53:15,App Performance,The app feels slow and sometimes freezes.,negative,10.38
900109,127803,2026-01-11 18:56:46,Payment Failure,My payment failed and I do not know why.,negative,8.9
900110,107683,2026-04-09 21:23:45,Payment Failure,My payment failed and I do not know why.,negative,10.11
900111,124280,2026-03-18 23:35:31,KYC Issues,I am unable to complete KYC document verification.,negative,13.51
900112,133071,2026-02-23 04:23:38,App Performance,The app feels slow and sometimes freezes.,negative,22.9
900113,135558,2026-06-13 15:08:03,KYC Issues,I am unable to complete KYC document verification.,negative,18.18
900114,137190,2026-05-01 02:17:03,Account,I need help with my account.,neutral,6.21
900115,147150,2026-03-01 11:22:26,KYC Issues,I am unable to complete KYC document verification.,negative,11.78
900116,146916,2026-01-31 19:24:16,Account,I need help with my account.,neutral,6.65
900117,109802,2026-04-03 19:41:20,Payment Failure,My payment failed and I do not know why.,negative,15.42
900118,138801,2026-06-21 14:24:52,Rewards,The rewards experience is confusing.,neutral,16.72
900119,124670,2026-04-23 21:23:52,Payment Failure,My payment failed and I do not know why.,negative,4.65
900120,144234,2026-02-28 02:21:01,KYC Issues,I am unable to complete KYC document verification.,negative,10.07
900121,131920,2026-04-27 08:56:31,Account,I need help with my account.,neutral,4.7
900122,107135,2026-02-17 05:55:19,KYC Issues,I am unable to complete KYC document verification.,negative,2.6
900123,133705,2026-06-16 03:06:03,Payment Failure,My payment failed and I do not know why.,negative,12.73
900124,129661,2026-02-07 11:32:36,Payment Failure,My payment failed and I do not know why.,negative,6.6
900125,117894,2026-03-07 11:45:49,Payment Failure,My payment failed and I do not know why.,negative,14.51
900126,122019,2026-06-13 15:57:36,Payment Failure,My payment failed and I do not know why.,negative,3.58
900127,113539,2026-02-08 13:18:41,Account,I need help with my account.,neutral,1.26
900128,143119,2026-03-02 18:28:16,Payment Failure,My payment failed and I do not know why.,negative,1.0
900129,136421,2026-05-14 17:50:27,Payment Failure,My payment failed and I do not know why.,negative,8.09
900130,109406,2026-06-15 17:36:48,Account,I need help with my account.,neutral,7.96
900131,113414,2026-03-15 23:34:24,KYC Issues,I am unable to complete KYC document verification.,negative,10.8
900132,106721,2026-02-11 13:00:46,Rewards,The rewards experience is confusing.,neutral,10.06
900133,115602,2026-04-15 23:39:19,Rewards,The rewards experience is confusing.,neutral,10.04
900134,144744,2026-01-22 23:43:48,Payment Failure,My payment failed and I do not know why.,negative,3.54
900135,131139,2026-04-27 17:45:06,Rewards,The rewards experience is confusing.,neutral,8.5
900136,102730,2026-04-18 12:14:31,Payment Failure,My payment failed and I do not know why.,negative,6.7
900137,138243,2026-06-12 01:56:48,KYC Issues,I am unable to complete KYC document verification.,negative,2.05
900138,129626,2026-06-11 23:04:07,Account,I need help with my account.,neutral,15.37
900139,147895,2026-03-02 16:48:54,KYC Issues,I am unable to complete KYC document verification.,negative,12.1
900140,142091,2026-06-17 22:36:17,KYC Issues,I am unable to complete KYC document verification.,negative,6.41
900141,136400,2026-03-25 18:18:35,Rewards,The rewards experience is confusing.,neutral,11.48
900142,106245,2026-06-30 23:59:59,KYC Issues,I am unable to complete KYC document verification.,negative,24.89
900143,105546,2026-04-05 02:02:24,KYC Issues,I am unable to complete KYC document verification.,negative,12.59
900144,104065,2026-06-25 14:46:56,Payment Failure,My payment failed and I do not know why.,negative,1.31
900145,112852,2026-04-21 10:16:07,KYC Issues,I am unable to complete KYC document verification.,negative,16.15
900146,121803,2026-05-05 01:17:06,KYC Issues,I am unable to complete KYC document verification.,negative,2.14
900147,141164,2026-02-05 00:16:44,Payment Failure,My payment failed and I do not know why.,negative,17.89
900148,106233,2026-04-11 14:17:05,Account,I need help with my account.,neutral,3.02
900149,103863,2026-01-09 21:11:37,Payment Failure,My payment failed and I do not know why.,negative,13.0
900150,135095,2026-01-29 01:34:35,Rewards,The rewards experience is confusing.,neutral,6.29
900151,140196,2026-01-14 13:07:32,Account,I need help with my account.,neutral,11.31
900152,139251,2026-05-21 01:46:47,Account,I need help with my account.,neutral,9.62
900153,106218,2026-02-20 01:00:46,KYC Issues,I am unable to complete KYC document verification.,negative,23.5
900154,136776,2026-04-01 09:07:40,Rewards,The rewards experience is confusing.,neutral,5.15
900155,142977,2026-06-30 23:59:59,KYC Issues,I am unable to complete KYC document verification.,negative,3.13
900156,148468,2026-03-29 16:09:20,Account,I need help with my account.,neutral,1.74
900157,114832,2026-05-26 17:35:53,Rewards,The rewards experience is confusing.,neutral,17.72
900158,130093,2026-06-06 12:57:32,Payment Failure,My payment failed and I do not know why.,negative,1.55
900159,108894,2026-05-03 10:22:25,Account,I need help with my account.,neutral,1.92
900160,106021,2026-01-19 16:09:51,KYC Issues,I am unable to complete KYC document verification.,negative,1.27
900161,146089,2026-02-02 18:14:27,Payment Failure,My payment failed and I do not know why.,negative,14.79
900162,115243,2026-03-23 14:19:44,App Performance,The app feels slow and sometimes freezes.,negative,5.14
900163,145308,2026-04-29 04:06:26,KYC Issues,I am unable to complete KYC document verification.,negative,17.68
900164,126551,2026-02-11 11:21:05,App Performance,The app feels slow and sometimes freezes.,negative,19.79
900165,106035,2026-03-13 05:56:15,Payment Failure,My payment failed and I do not know why.,negative,29.47
900166,107906,2026-01-23 20:49:03,Rewards,The rewards experience is confusing.,neutral,16.53
900167,132226,2026-05-04 19:14:57,Rewards,The rewards experience is confusing.,neutral,6.39
900168,106018,2026-06-02 21:55:07,App Performance,The app feels slow and sometimes freezes.,negative,11.49
900169,121880,2026-05-15 23:51:19,Payment Failure,My payment failed and I do not know why.,negative,2.5
900170,102792,2026-05-16 19:04:26,Account,I need help with my account.,neutral,13.43
900171,142606,2026-03-25 15:52:15,Payment Failure,My payment failed and I do not know why.,negative,4.4
900172,105824,2026-01-08 14:57:11,Account,I need help with my account.,neutral,2.17
900173,115388,2026-06-02 17:25:16,App Performance,The app feels slow and sometimes freezes.,negative,7.79
900174,129562,2026-01-09 21:23:26,Payment Failure,My payment failed and I do not know why.,negative,22.4
900175,139476,2026-03-17 05:51:50,KYC Issues,I am unable to complete KYC document verification.,negative,6.82
900176,100293,2026-03-09 06:00:03,Rewards,The rewards experience is confusing.,neutral,5.19
900177,116958,2026-04-21 16:56:20,KYC Issues,I am unable to complete KYC document verification.,negative,2.87
900178,130861,2026-06-12 05:14:01,KYC Issues,I am unable to complete KYC document verification.,negative,15.73
900179,114074,2026-02-28 19:51:31,Payment Failure,My payment failed and I do not know why.,negative,18.18
900180,121857,2026-06-02 23:04:16,App Performance,The app feels slow and sometimes freezes.,negative,2.23
900181,122080,2026-01-10 20:53:34,App Performance,The app feels slow and sometimes freezes.,negative,11.66
900182,117024,2026-01-24 20:51:03,Payment Failure,My payment failed and I do not know why.,negative,5.19
900183,108740,2026-06-23 05:38:09,App Performance,The app feels slow and sometimes freezes.,negative,6.75
900184,115826,2026-04-16 12:11:05,App Performance,The app feels slow and sometimes freezes.,negative,36.38
900185,102742,2026-03-17 05:01:47,KYC Issues,I am unable to complete KYC document verification.,negative,8.14
900186,118049,2026-01-13 15:03:47,Payment Failure,My payment failed and I do not know why.,negative,6.88
900187,149937,2026-05-10 21:36:25,App Performance,The app feels slow and sometimes freezes.,negative,7.72
900188,117373,2026-04-30 05:54:28,App Performance,The app feels slow and sometimes freezes.,negative,7.47
900189,122022,2026-03-14 03:15:46,KYC Issues,I am unable to complete KYC document verification.,negative,8.37
900190,146365,2026-06-30 23:59:59,App Performance,The app feels slow and sometimes freezes.,negative,2.7
900191,123538,2026-05-26 19:45:36,Rewards,The rewards experience is confusing.,neutral,6.16
900192,145500,2026-03-29 03:13:01,Account,I need help with my account.,neutral,3.25
900193,140186,2026-01-14 03:19:19,Payment Failure,My payment failed and I do not know why.,negative,8.1
900194,109614,2026-04-03 14:39:10,Account,I need help with my account.,neutral,1.53
900195,143282,2026-06-08 18:31:16,Payment Failure,My payment failed and I do not know why.,negative,4.44
900196,137892,2026-06-05 09:16:42,Account,I need help with my account.,neutral,2.0
900197,126179,2026-04-25 17:42:41,Rewards,The rewards experience is confusing.,neutral,3.7
900198,145893,2026-01-11 03:13:58,KYC Issues,I am unable to complete KYC document verification.,negative,1.59
900199,120934,2026-06-22 05:34:55,App Performance,The app feels slow and sometimes freezes.,negative,29.17
900200,140972,2026-01-12 23:16:36,Payment Failure,My payment failed and I do not know why.,negative,14.27
900201,122225,2026-06-12 00:11:28,App Performance,The app feels slow and sometimes freezes.,negative,0.77
900202,124382,2026-05-23 14:44:47,App Performance,The app feels slow and sometimes freezes.,negative,10.79
900203,134856,2026-04-22 18:46:00,Account,I need help with my account.,neutral,3.0
900204,148578,2026-06-15 22:33:55,Rewards,The rewards experience is confusing.,neutral,32.09
900205,138537,2026-01-26 07:08:22,KYC Issues,I am unable to complete KYC document verification.,negative,17.54
900206,131756,2026-03-03 15:02:28,Rewards,The rewards experience is confusing.,neutral,11.26
900207,107754,2026-01-19 19:27:34,Account,I need help with my account.,neutral,2.97
900208,146639,2026-02-10 20:00:09,Account,I need help with my account.,neutral,9.09
900209,143835,2026-04-17 19:42:39,Account,I need help with my account.,neutral,6.0
900210,126236,2026-05-14 06:28:43,KYC Issues,I am unable to complete KYC document verification.,negative,7.93
900211,144230,2026-02-15 01:53:48,App Performance,The app feels slow and sometimes freezes.,negative,3.62
900212,149597,2026-04-14 20:52:41,Payment Failure,My payment failed and I do not know why.,negative,29.87
900213,118553,2026-05-13 10:39:08,Account,I need help with my account.,neutral,14.27
900214,143137,2026-04-04 18:47:12,KYC Issues,I am unable to complete KYC document verification.,negative,32.46
900215,136673,2026-04-08 01:16:28,KYC Issues,I am unable to complete KYC document verification.,negative,13.84
900216,143650,2026-02-12 05:25:06,Rewards,The rewards experience is confusing.,neutral,11.25
900217,103941,2026-06-30 23:59:59,Rewards,The rewards experience is confusing.,neutral,5.37
900218,131497,2026-02-12 05:38:46,Account,I need help with my account.,neutral,10.01
900219,126594,2026-03-28 08:24:52,Account,I need help with my account.,neutral,5.98
900220,123922,2026-06-12 00:23:09,Account,I need help with my account.,neutral,3.57
900221,126403,2026-04-23 10:57:07,App Performance,The app feels slow and sometimes freezes.,negative,14.27
900222,145943,2026-04-05 14:16:33,App Performance,The app feels slow and sometimes freezes.,negative,7.39
900223,148526,2026-05-04 02:16:26,Account,I need help with my account.,neutral,1.85
900224,118316,2026-06-05 04:06:26,Payment Failure,My payment failed and I do not know why.,negative,8.49
900225,136894,2026-06-12 17:10:02,KYC Issues,I am unable to complete KYC document verification.,negative,3.78
900226,126696,2026-02-22 18:06:12,Rewards,The rewards experience is confusing.,neutral,9.02
900227,142128,2026-03-10 03:36:51,Rewards,The rewards experience is confusing.,neutral,0.68
900228,114171,2026-03-25 16:23:23,KYC Issues,I am unable to complete KYC document verification.,negative,17.85
900229,103733,2026-06-23 08:51:50,Payment Failure,My payment failed and I do not know why.,negative,21.65
900230,107882,2026-03-10 03:59:53,Payment Failure,My payment failed and I do not know why.,negative,4.63
900231,106017,2026-05-22 20:33:34,Payment Failure,My payment failed and I do not know why.,negative,9.13
900232,123030,2026-01-11 14:58:59,KYC Issues,I am unable to complete KYC document verification.,negative,1.04
900233,135474,2026-02-07 15:41:40,Account,I need help with my account.,neutral,3.95
900234,149686,2026-01-15 16:45:10,Payment Failure,My payment failed and I do not know why.,negative,10.44
900235,104818,2026-02-20 06:42:23,Payment Failure,My payment failed and I do not know why.,negative,8.12
900236,141694,2026-06-04 09:12:18,KYC Issues,I am unable to complete KYC document verification.,negative,18.24
900237,112008,2026-01-31 17:09:19,Account,I need help with my account.,neutral,3.94
900238,141328,2026-06-30 23:59:59,KYC Issues,I am unable to complete KYC document verification.,negative,23.11
900239,109507,2026-01-31 09:58:13,App Performance,The app feels slow and sometimes freezes.,negative,19.59
900240,144799,2026-01-30 11:34:14,Payment Failure,My payment failed and I do not know why.,negative,4.46
900241,134063,2026-06-30 23:59:59,KYC Issues,I am unable to complete KYC document verification.,negative,26.28
900242,127475,2026-06-23 06:27:01,Account,I need help with my account.,neutral,19.77
900243,131144,2026-02-27 00:58:56,KYC Issues,I am unable to complete KYC document verification.,negative,2.78
900244,121236,2026-04-13 23:53:00,Account,I need help with my account.,neutral,13.38
900245,101391,2026-06-30 23:59:59,KYC Issues,I am unable to complete KYC document verification.,negative,9.11
900246,138250,2026-05-31 17:59:47,KYC Issues,I am unable to complete KYC document verification.,negative,18.0
900247,137625,2026-05-07 20:46:15,Account,I need help with my account.,neutral,10.67
900248,142029,2026-04-15 18:49:09,KYC Issues,I am unable to complete KYC document verification.,negative,7.31
900249,120835,2026-03-05 22:17:10,Account,I need help with my account.,neutral,9.51
900250,114758,2026-06-30 23:59:59,App Performance,The app feels slow and sometimes freezes.,negative,8.83
900251,126397,2026-02-14 16:11:27,App Performance,The app feels slow and sometimes freezes.,negative,15.33
900252,106809,2026-04-06 03:21:01,App Performance,The app feels slow and sometimes freezes.,negative,18.13
900253,109226,2026-06-22 03:19:43,KYC Issues,I am unable to complete KYC document verification.,negative,1.87
900254,148395,2026-01-16 20:19:35,Account,I need help with my account.,neutral,17.05
900255,105396,2026-06-10 09:04:55,Account,I need help with my account.,neutral,10.51
900256,106944,2026-03-30 04:40:30,App Performance,The app feels slow and sometimes freezes.,negative,14.83
900257,123871,2026-06-10 02:33:58,Account,I need help with my account.,neutral,19.2
900258,132493,2026-06-21 03:40:03,KYC Issues,I am unable to complete KYC document verification.,negative,14.87
900259,136346,2026-03-06 19:49:43,Payment Failure,My payment failed and I do not know why.,negative,5.84
900260,110756,2026-03-20 17:32:15,Account,I need help with my account.,neutral,1.99
900261,112302,2026-03-17 09:19:58,Account,I need help with my account.,neutral,17.28
900262,148387,2026-03-03 05:40:16,Payment Failure,My payment failed and I do not know why.,negative,3.15
900263,142746,2026-03-13 06:07:08,Payment Failure,My payment failed and I do not know why.,negative,4.63
900264,129090,2026-03-30 00:10:39,App Performance,The app feels slow and sometimes freezes.,negative,4.42
900265,144713,2026-05-22 22:23:05,App Performance,The app feels slow and sometimes freezes.,negative,7.34
900266,114344,2026-03-10 21:20:50,Payment Failure,My payment failed and I do not know why.,negative,3.91
900267,138173,2026-05-20 02:15:58,KYC Issues,I am unable to complete KYC document verification.,negative,12.65
900268,105072,2026-04-08 09:40:42,KYC Issues,I am unable to complete KYC document verification.,negative,1.77
900269,124122,2026-05-05 01:02:16,KYC Issues,I am unable to complete KYC document verification.,negative,11.41
900270,148810,2026-05-19 19:42:06,KYC Issues,I am unable to complete KYC document verification.,negative,5.27
900271,117821,2026-05-29 07:37:52,Account,I need help with my account.,neutral,25.84
900272,101123,2026-06-25 14:10:40,Rewards,The rewards experience is confusing.,neutral,9.0
900273,111265,2026-04-23 14:38:31,KYC Issues,I am unable to complete KYC document verification.,negative,13.04
900274,130580,2026-02-03 23:02:22,App Performance,The app feels slow and sometimes freezes.,negative,8.04
900275,145465,2026-02-26 01:45:18,Payment Failure,My payment failed and I do not know why.,negative,12.33
900276,148217,2026-06-12 16:27:37,Rewards,The rewards experience is confusing.,neutral,15.96
900277,143045,2026-02-28 08:18:38,Payment Failure,My payment failed and I do not know why.,negative,3.36
900278,115657,2026-06-27 19:19:30,Rewards,The rewards experience is confusing.,neutral,3.76
900279,101901,2026-02-19 09:26:35,Account,I need help with my account.,neutral,13.12
900280,100148,2026-06-09 20:53:46,Rewards,The rewards experience is confusing.,neutral,24.0
900281,129643,2026-06-23 22:53:24,App Performance,The app feels slow and sometimes freezes.,negative,6.82
900282,103212,2026-06-30 23:59:59,KYC Issues,I am unable to complete KYC document verification.,negative,4.53
900283,143851,2026-03-01 18:17:13,Payment Failure,My payment failed and I do not know why.,negative,4.01
900284,102355,2026-06-06 18:48:27,Account,I need help with my account.,neutral,5.8
900285,131521,2026-04-06 09:37:33,KYC Issues,I am unable to complete KYC document verification.,negative,1.42
900286,142584,2026-04-14 14:59:34,KYC Issues,I am unable to complete KYC document verification.,negative,6.04
900287,143338,2026-06-05 22:24:59,App Performance,The app feels slow and sometimes freezes.,negative,17.24
900288,145285,2026-02-19 22:25:19,Rewards,The rewards experience is confusing.,neutral,8.1
900289,146957,2026-04-24 02:59:34,Payment Failure,My payment failed and I do not know why.,negative,5.6
900290,148791,2026-06-30 23:59:59,KYC Issues,I am unable to complete KYC document verification.,negative,1.59
900291,136586,2026-04-12 20:34:26,KYC Issues,I am unable to complete KYC document verification.,negative,8.38
900292,110466,2026-06-30 23:59:59,App Performance,The app feels slow and sometimes freezes.,negative,23.32
900293,107822,2026-04-06 10:47:51,Account,I need help with my account.,neutral,13.97
900294,107206,2026-03-08 03:01:55,App Performance,The app feels slow and sometimes freezes.,negative,4.54
900295,106414,2026-05-01 23:56:45,Payment Failure,My payment failed and I do not know why.,negative,4.62
900296,134047,2026-06-15 02:20:25,App Performance,The app feels slow and sometimes freezes.,negative,10.21
900297,112729,2026-02-21 20:14:07,Payment Failure,My payment failed and I do not know why.,negative,8.81
900298,106926,2026-03-30 04:08:18,KYC Issues,I am unable to complete KYC document verification.,negative,17.27
900299,127996,2026-05-30 11:45:24,KYC Issues,I am unable to complete KYC document verification.,negative,7.57
900300,137613,2026-06-23 05:19:42,KYC Issues,I am unable to complete KYC document verification.,negative,11.74
900301,139484,2026-04-02 14:05:43,Rewards,The rewards experience is confusing.,neutral,8.05
900302,103017,2026-02-10 23:39:17,Payment Failure,My payment failed and I do not know why.,negative,11.6
900303,101641,2026-04-20 08:11:22,Account,I need help with my account.,neutral,4.0
900304,108884,2026-04-22 17:52:25,Rewards,The rewards experience is confusing.,neutral,27.42
900305,137602,2026-06-20 18:13:08,KYC Issues,I am unable to complete KYC document verification.,negative,4.11
900306,112970,2026-04-02 08:56:43,Payment Failure,My payment failed and I do not know why.,negative,3.48
900307,123464,2026-02-26 22:21:47,Payment Failure,My payment failed and I do not know why.,negative,5.78
900308,115758,2026-01-14 22:52:41,Account,I need help with my account.,neutral,4.29
900309,144077,2026-06-10 15:19:10,KYC Issues,I am unable to complete KYC document verification.,negative,4.68
900310,104087,2026-04-15 05:27:30,Account,I need help with my account.,neutral,14.47
900311,100509,2026-02-14 06:29:39,Account,I need help with my account.,neutral,13.45
900312,106355,2026-01-28 07:14:22,Payment Failure,My payment failed and I do not know why.,negative,34.5
